"day_of_year","time_period","max_tmpf","min_tmpf","avg_tmpf","max_dwpf","min_dwpf","avg_dwpf","max_relh","min_relh","avg_relh","max_wind_knt","min_wind_knt","avg_wind_knt","most_frequent_sky","least_frequent_sky"
"2020-12-29","Night",52.576,31.963636,43.4736246,51.844,19.190909,34.4762429,100.0,45.251818,74.6399446,7.904762,0.52,3.1698787,"clear","lt_precip"
"2020-12-29","Day",67.361538,44.08,53.5875579,51.072973,19.192308,34.5795331,96.468378,21.420769,57.4524852,12.6,1.307692,4.7484144,"clear","none"
"2020-12-28","Night",51.86,32.909091,41.6011902,49.133333,13.927273,34.1200725,96.084375,35.98,77.7400176,6.969697,0.0,2.2022076,"clear","lt_precip"
"2020-12-28","Day",66.438462,45.884615,52.611921,46.605556,15.115385,32.9727864,86.958621,17.142308,56.5517007,7.689655,1.692308,3.3377247,"clear","lt_precip"
"2020-12-27","Night",50.908824,32.174545,41.2987182,50.170588,14.236364,32.075416,100.0,33.102727,74.2988247,6.636364,0.0,1.7292255,"clear","shaded"
"2020-12-27","Day",67.107692,45.12,52.39732,48.163158,11.807143,32.5914976,78.530833,19.512308,54.936734,16.857143,1.0,4.1648324,"clear","shaded"
"2020-12-26","Night",50.458824,35.632727,41.0445187,44.4,10.223636,30.2323048,100.0,38.726364,70.6241364,6.454545,0.272727,2.7214348,"clear","lt_precip"
"2020-12-26","Day",62.715385,45.604348,53.2947425,43.453846,3.386154,29.8988806,80.370435,17.857692,47.9080025,12.0,1.384615,4.9105685,"clear","none"
"2020-12-25","Night",47.290909,36.563636,43.1025538,44.663636,9.256364,30.4021527,100.0,27.373636,66.9992219,12.0,0.272727,4.2343265,"clear","lt_precip"
"2020-12-25","Day",67.4,42.929167,53.371686,44.023077,-0.989231,28.3973782,100.0,13.381538,46.9467691,21.923077,0.6,5.0785256,"clear","lt_precip"
"2020-12-24","Night",55.563636,35.281818,45.8854021,47.354545,10.227273,34.8443832,100.0,22.875455,74.6365124,7.238095,0.25,4.1888246,"clear","lt_precip"
"2020-12-24","Day",68.292308,47.656522,53.5592122,49.136842,8.453333,32.6243241,99.825217,20.014667,56.3050718,14.846154,1.076923,5.6228458,"clear","none"
"2020-12-23","Night",53.674545,39.872727,46.9217691,52.968182,8.654545,37.020937,100.0,31.268182,77.2233287,8.0,0.0,2.5632867,"clear","lt_precip"
"2020-12-23","Day",65.030769,48.023529,57.0669384,55.346429,3.276923,36.3958197,99.748571,13.684615,60.3552348,9.692308,1.769231,4.1876297,"clear","shaded"
"2020-12-22","Night",53.172727,39.536364,46.7827124,51.923478,8.272727,38.8277157,100.0,27.243636,79.0949508,6.2,0.0,2.3313588,"clear","lt_precip"
"2020-12-22","Day",65.856923,48.154286,55.8376757,52.941379,6.576923,39.7697187,100.0,16.307692,66.580043,7.310345,1.0,3.4963271,"clear","shaded"
"2020-12-21","Night",53.861905,33.981818,46.0860178,51.938095,4.027273,35.1166369,100.0,28.708182,71.0193298,5.857143,0.0,2.0801083,"clear","lt_precip"
"2020-12-21","Day",67.746154,52.961538,58.0084284,55.651818,2.276923,35.8105078,99.830227,14.623077,54.482965,5.916667,1.076923,2.8611222,"clear","lt_precip"
"2020-12-20","Night",55.283333,37.127273,46.3004515,51.491667,6.263636,30.8942062,98.681333,22.469091,62.8367319,10.454545,0.272727,2.8984848,"clear","shaded"
"2020-12-20","Day",64.184615,50.355385,58.3790769,51.369231,-0.484615,29.718154,84.658462,11.310769,42.7021538,11.923077,0.923077,3.7846154,"clear","shaded"
"2020-12-19","Night",55.503125,37.372727,42.75033,55.503125,9.381818,31.4269015,100.0,28.228182,71.6657299,7.363636,0.0,2.257915,"clear","shaded"
"2020-12-19","Day",63.484615,48.735385,56.2472308,55.063333,4.484615,30.3476738,90.336429,12.916154,48.3091256,13.153846,0.461538,4.0872161,"clear","none"
"2020-12-18","Night",53.525,33.727273,41.055693,53.32,20.690909,33.9498399,99.3,50.943636,79.1452992,5.5,0.0,1.7863285,"clear","shaded"
"2020-12-18","Day",60.607692,51.869231,54.7272896,54.485714,9.815385,31.7254576,85.986429,19.035385,50.654668,9.153846,0.846154,3.188157,"clear","shaded"
"2020-12-17","Night",56.938462,36.054545,42.1966225,49.189474,12.632727,29.3983658,100.0,32.882727,65.6896553,3.181818,0.272727,1.2441122,"clear","shaded"
"2020-12-17","Day",64.130769,46.869231,54.6590667,50.329412,12.707692,27.4299522,86.564118,17.608462,43.1798678,3.846154,0.846154,2.62883,"clear","shaded"
"2020-12-16","Night",51.981818,36.229091,46.8298778,50.9625,5.790909,27.5323167,100.0,16.824545,55.7505845,13.181818,0.727273,4.7989148,"clear","none"
"2020-12-16","Day",68.807692,52.470769,57.2156502,55.1975,4.9,27.404656,95.48275,13.36,42.9379548,12.818182,2.615385,5.6385489,"clear","lt_precip"
"2020-12-15","Night",51.32381,32.274545,43.8620779,51.166667,16.681818,30.616303,99.441905,32.362727,66.5062178,5.545455,0.8,2.6779629,"clear","lt_precip"
"2020-12-15","Day",65.038462,47.466154,55.4157547,49.401538,15.764615,29.4142234,94.252051,22.849231,44.1802989,9.153846,2.714286,4.4761538,"clear","none"
"2020-12-14","Night",50.17,36.561818,43.4605355,46.576923,11.963636,30.1974118,99.943846,26.803636,65.6092454,4.181818,0.230769,1.5256259,"clear","shaded"
"2020-12-14","Day",66.861538,46.169231,56.2123143,48.730769,7.676923,29.8503233,80.306087,11.538462,45.812549,8.153846,0.923077,4.0576366,"clear","shaded"
"2020-12-13","Night",52.69375,37.136364,46.0993871,52.69375,9.172727,32.7367267,100.0,25.912727,68.0179952,9.0,0.363636,3.0259092,"clear","lt_precip"
"2020-12-13","Day",65.315385,48.386154,55.5388473,53.39,9.138462,32.6193262,100.0,13.760769,53.7750173,13.909091,0.923077,4.6174659,"clear","lt_precip"
"2020-12-12","Night",54.003846,38.05625,45.4266544,53.992308,7.836364,39.0280219,100.0,26.252727,83.3151504,7.125,0.269231,2.0590991,"clear","shaded"
"2020-12-12","Day",64.753846,42.586364,55.6461783,53.855,6.2,37.5517268,85.428182,11.836923,61.7393803,6.285714,1.636364,3.8443918,"clear","shaded"
"2020-12-11","Night",55.851852,35.136364,43.6960446,55.851852,1.172727,35.4564968,100.0,19.712727,77.9744144,7.392857,0.0,1.6549664,"clear","none"
"2020-12-11","Day",66.223077,42.83125,55.0339078,56.281818,-5.769231,35.0222735,99.941765,7.629231,59.8325977,12.615385,0.769231,3.9847668,"clear","none"
"2020-12-10","Night",55.738095,40.94,46.9473967,53.201905,4.954545,36.2916181,100.0,18.091818,73.1677404,7.6,0.0,2.7505308,"clear","shaded"
"2020-12-10","Day",67.107692,51.064516,57.78739,53.425333,1.261538,34.9133638,88.502903,8.300769,54.0449313,10.290323,2.3,4.9744168,"clear","lt_precip"
"2020-12-09","Night",55.172727,40.309091,46.9098929,47.894815,4.16,33.1836309,100.0,15.083636,71.2254764,5.272727,0.272727,2.2911944,"clear","shaded"
"2020-12-09","Day",70.215385,49.052381,58.8767766,45.046154,1.076923,31.7712087,80.875714,8.159231,48.2350329,11.153846,1.230769,4.134066,"clear","none"
"2020-12-08","Night",63.490909,37.681818,49.0696649,48.670588,6.790909,31.5261925,100.0,11.000909,64.6669298,9.909091,0.0,2.9409983,"clear","shaded"
"2020-12-08","Day",70.946154,51.107692,60.3259762,48.833333,4.876923,30.8801905,89.72381,7.453077,45.412153,12.461538,2.0,5.5473992,"clear","lt_precip"
"2020-12-07","Night",53.485714,38.336364,47.8301862,53.485714,8.954545,35.2785585,100.0,19.645455,71.3998109,4.8,0.454545,1.9756084,"clear","none"
"2020-12-07","Day",68.18,49.703333,58.6926361,56.82,6.169231,35.1825404,97.812333,9.682308,55.5083824,10.923077,1.555556,3.7559218,"clear","shaded"
"2020-12-06","Night",55.775758,36.5,47.4868578,55.775758,5.072727,36.3622129,100.0,16.900909,74.7657779,3.30303,0.611111,1.8767404,"clear","none"
"2020-12-06","Day",66.252308,49.473913,57.9377247,59.065,-0.053846,36.3616088,100.0,7.991538,60.6581732,7.153846,1.769231,3.5579969,"clear","none"
"2020-12-05","Night",53.216923,33.218182,46.6126316,52.949231,4.772727,34.8364978,100.0,21.39,71.1076275,6.863636,0.333333,2.0305319,"clear","none"
"2020-12-05","Day",66.313846,50.09,59.1727413,54.255652,1.184615,31.5154402,99.97225,9.144615,49.2390814,10.1,1.538462,3.9708041,"clear","lt_precip"
"2020-12-04","Night",53.072222,36.854545,45.8977572,52.39,4.045455,33.0669647,99.248571,17.534545,68.9193096,8.272727,0.458333,1.9919968,"clear","shaded"
"2020-12-04","Day",71.730769,48.063158,58.8069742,51.883077,1.207692,31.5823686,93.338421,11.087692,49.1614171,11.153846,1.923077,4.6262398,"clear","shaded"
"2020-12-03","Night",58.231667,38.256364,48.5659702,58.2125,2.090909,33.5683425,99.94625,14.985455,65.7435408,8.181818,0.176471,2.9281809,"clear","shaded"
"2020-12-03","Day",65.369231,52.821538,57.6616773,56.278824,-0.915385,30.9340048,100.0,8.458462,49.1942989,10.384615,1.692308,5.2833852,"clear","lt_precip"
"2020-12-02","Night",58.455,42.461818,47.2033662,58.455,8.090909,33.8269072,100.0,23.148182,69.0851735,13.818182,0.461538,3.1167311,"clear","lt_precip"
"2020-12-02","Day",65.161538,54.928571,59.5799613,59.76,11.453846,33.7446252,93.253667,13.831538,47.7461951,22.5,0.888889,5.6137606,"clear","shaded"
"2020-12-01","Night",55.223158,40.409091,45.3531018,50.96,9.843636,35.7969679,98.756364,27.920909,75.5161065,4.105263,0.0,1.0241627,"clear","lt_precip"
"2020-12-01","Day",65.561538,51.784615,59.2490811,52.857838,5.6,33.5588608,90.735135,12.413846,48.712129,5.076923,1.076923,2.5927235,"clear","lt_precip"
"2020-11-30","Night",53.043636,35.925455,45.0521134,46.089091,9.241818,33.0125894,100.0,31.063636,67.3384361,3.3125,0.454545,1.2992723,"clear","none"
"2020-11-30","Day",73.023077,51.3,58.9645714,48.912308,8.481667,31.4024716,88.128095,14.221538,46.209191,4.923077,1.923077,3.3099913,"clear","none"
"2020-11-29","Night",55.285926,34.603636,45.4993719,53.166667,8.141818,34.4140696,99.958077,31.618182,71.2362675,4.888889,0.0,1.6932195,"clear","none"
"2020-11-29","Day",72.692308,49.856,58.5081763,50.751304,7.086154,32.0001268,85.764,13.916923,48.3565047,6.086957,0.64,3.5148411,"clear","none"
"2020-11-28","Night",50.555882,41.556522,45.6127325,50.555882,8.809091,32.8880345,100.0,21.253636,68.5497517,4.705882,0.272727,2.0801613,"clear","lt_precip"
"2020-11-28","Day",69.546154,44.636842,57.4813727,53.919444,10.525,32.1786163,97.625,13.163333,50.9450278,7.638889,2.294118,4.4211009,"clear","lt_precip"
"2020-11-27","Night",49.2,39.745455,45.2408519,44.663158,3.409091,29.1633972,100.0,16.901818,61.1253922,4.545455,0.0,2.0502392,"clear","none"
"2020-11-27","Day",69.084615,43.771429,57.8468842,49.73,0.292308,28.5087513,100.0,10.534615,45.4919436,6.285714,2.076923,3.6644689,"clear","lt_precip"
"2020-11-26","Night",51.121212,41.358182,45.6315884,51.015152,11.472727,29.724098,99.622727,27.257273,60.3014578,4.545455,0.272727,2.0355249,"clear","shaded"
"2020-11-26","Day",72.216923,50.0,58.6147353,51.718519,8.4,30.4335674,88.602308,13.076923,47.2778813,9.0,1.615385,4.9257386,"clear","shaded"
"2020-11-25","Night",50.76,39.627273,45.6541679,46.006667,5.290909,26.2940373,84.678667,18.373636,51.9820694,9.090909,0.0,2.6494639,"clear","shaded"
"2020-11-25","Day",70.690909,51.301176,62.0433423,40.011765,0.161538,23.0262054,66.678824,7.986923,28.7348943,9.0,2.076923,4.0540485,"clear","none"
"2020-11-24","Night",53.445455,43.636364,48.1039709,45.627368,0.045455,28.9878959,90.182105,11.731818,57.9527901,6.636364,0.0,2.8794358,"clear","none"
"2020-11-24","Day",72.807692,52.96,62.4567595,41.09375,-1.969231,26.4812872,58.500714,7.235385,34.7066148,12.769231,2.307692,5.2604396,"clear","none"
"2020-11-23","Night",52.563636,41.541667,47.9330462,50.922727,11.650909,33.9893188,100.0,23.46,67.4998766,4.416667,0.545455,2.1091673,"clear","none"
"2020-11-23","Day",73.307692,57.576923,62.9816676,53.156522,5.323077,32.1607462,86.754783,8.541538,43.0290868,10.615385,2.826087,5.1673949,"clear","none"
"2020-11-22","Night",53.863636,41.045455,48.7356936,49.189474,21.130909,35.4064076,100.0,38.918182,65.0038853,5.545455,0.090909,1.5300866,"clear","shaded"
"2020-11-22","Day",76.846154,52.672414,63.9971731,51.277778,18.176923,32.8847591,90.432414,21.619231,40.5799892,11.0,1.896552,4.487091,"clear","none"
"2020-11-21","Night",60.609091,42.990909,52.3208221,53.09,15.049091,33.6881068,100.0,19.253636,57.5700552,5.0,0.545455,2.5867392,"clear","lt_precip"
"2020-11-21","Day",82.976923,56.37,66.432724,55.334483,13.564615,32.7884447,92.27069,9.788462,40.2955345,6.615385,1.615385,4.2629384,"clear","none"
"2020-11-20","Night",64.498182,44.672727,53.334701,51.12087,19.427273,33.763168,100.0,22.848182,56.5148063,8.818182,0.545455,3.456514,"clear","none"
"2020-11-20","Day",76.607692,54.552941,66.2800527,51.282353,10.761538,31.3493315,89.908824,13.527692,36.9585801,12.071429,1.692308,5.5568014,"clear","none"
"2020-11-19","Night",53.594545,43.590909,48.7527824,52.613793,12.772727,32.2589982,100.0,25.389091,59.632473,8.068966,0.0,2.4057981,"clear","shaded"
"2020-11-19","Day",73.375385,50.803846,62.7383334,49.15,13.830769,30.8474616,94.996538,15.087692,38.6421474,8.884615,2.692308,4.8346154,"clear","shaded"
"2020-11-18","Night",56.00625,41.863636,48.4510567,53.74375,5.763636,29.3459544,99.04875,16.599091,54.5458045,6.181818,0.272727,2.0632955,"clear","shaded"
"2020-11-18","Day",69.964615,61.123077,64.5634016,50.885714,-2.046154,26.5883419,70.44,6.627692,32.7127868,8.333333,2.384615,5.0218154,"clear","none"
"2020-11-17","Night",55.80625,44.354545,50.0281704,55.73125,10.618,27.9801977,99.73125,18.138,50.4871553,5.636364,0.272727,2.0775758,"clear","none"
"2020-11-17","Day",74.208333,60.138462,65.5813991,54.5125,7.650909,26.0830023,80.065,9.574545,31.498154,8.272727,2.615385,3.996051,"clear","none"
"2020-11-16","Night",58.805556,43.890909,50.8416048,53.865217,7.821818,32.368717,100.0,15.97,56.0700849,5.454545,0.0,1.9825254,"clear","shaded"
"2020-11-16","Day",77.838462,61.012308,65.6060073,55.390476,4.193846,30.190641,82.347143,8.680769,37.7219161,6.769231,2.238095,4.2680587,"clear","shaded"
"2020-11-15","Night",55.063636,44.390909,50.6409007,54.4,17.327273,31.9255178,100.0,28.466364,55.7292143,15.538462,0.0,2.7335966,"clear","shaded"
"2020-11-15","Day",73.8,54.721538,65.8499681,58.031579,3.650769,27.285993,87.432632,11.763077,31.1390984,10.230769,0.947368,4.5782533,"clear","none"
"2020-11-14","Night",54.672381,45.4,49.4525773,52.910476,15.6,35.7218301,100.0,28.550909,63.918983,4.090909,0.0,1.5446158,"clear","shaded"
"2020-11-14","Day",74.584615,58.133333,63.8265134,52.472381,13.307692,36.798585,79.825238,13.823077,45.7488783,9.4,1.846154,4.2134411,"clear","shaded"
"2020-11-13","Night",57.284762,40.954545,48.5237488,54.655238,8.454545,33.0149025,99.674167,17.754545,60.9241051,2.619048,0.0,0.8490261,"clear","shaded"
"2020-11-13","Day",76.869231,58.615385,66.8189232,53.933684,1.584615,29.9319837,75.617368,6.763846,33.028352,9.384615,2.0,3.8469635,"clear","none"
"2020-11-12","Night",58.536364,39.409091,49.2725466,51.261538,-0.990909,31.0196387,92.193636,8.735455,58.4092255,9.727273,0.0,1.682634,"clear","none"
"2020-11-12","Day",77.307692,55.792308,65.9435154,50.9,0.630769,29.3163076,73.428,7.529231,32.7440307,13.538462,2.384615,4.9476923,"clear","none"
"2020-11-11","Night",62.027273,36.354545,48.4945001,52.790667,0.154545,29.7136576,97.702273,14.470909,55.9962492,5.272727,0.0,1.6723486,"clear","shaded"
"2020-11-11","Day",81.146154,57.969231,67.0059317,49.763333,-1.784615,26.6763333,68.280556,6.908462,29.6427479,8.307692,2.076923,4.386752,"clear","none"
"2020-11-10","Night",57.78,36.063636,46.8170325,52.332,8.972727,31.8963748,99.110769,31.056364,63.2037694,4.4,0.0,1.4448951,"clear","shaded"
"2020-11-10","Day",78.276923,55.576923,64.9446325,47.729412,2.430769,27.9842288,72.605882,12.528462,34.4154592,6.307692,1.823529,3.8485616,"clear","shaded"
"2020-11-09","Night",60.881818,38.318182,46.6821419,49.37,11.109091,34.6380697,99.912941,30.64,68.292737,3.0625,0.0,0.9836188,"clear","shaded"
"2020-11-09","Day",80.576923,51.630769,61.3079519,53.158333,7.753846,33.7826317,87.446667,13.31,47.9373395,13.076923,1.666667,4.4195046,"clear","shaded"
"2020-11-08","Night",58.427273,46.457895,51.546855,52.6,-0.327273,34.3215488,99.424286,11.001818,61.3839866,7.272727,0.272727,3.0037874,"clear","shaded"
"2020-11-08","Day",81.261538,49.663158,64.4377356,55.1,-4.938462,33.7557264,82.969048,5.29,45.8121623,8.692308,3.238095,5.5777282,"clear","shaded"
"2020-11-07","Night",56.907143,44.476364,51.670975,50.20625,29.185455,39.9187,96.439091,45.78,71.5700153,6.125,0.363636,2.0856568,"clear","lt_precip"
"2020-11-07","Day",77.838462,50.827273,65.7334964,53.489189,23.776923,38.2785469,87.63027,17.991538,48.1456926,11.783784,3.153846,6.1553208,"clear","lt_precip"
"2020-11-06","Night",57.838889,48.245455,53.1228795,54.94,21.409091,43.7224495,100.0,32.971818,74.6985078,8.111111,0.0,2.1384596,"clear","shaded"
"2020-11-06","Day",75.236923,60.06,67.0447582,56.864286,19.618462,42.7389193,86.391429,16.763077,51.277584,8.785714,2.153846,5.1590292,"clear","shaded"
"2020-11-05","Night",59.34,47.027273,53.6643355,54.121053,25.498182,41.0196811,99.564211,32.32,67.846878,3.181818,0.272727,1.669189,"clear","shaded"
"2020-11-05","Day",80.184615,63.030769,69.4202873,54.833333,21.253846,38.9341901,73.954667,17.273077,39.8751694,6.384615,1.769231,4.2572249,"clear","none"
"2020-11-04","Night",62.436364,41.323636,51.9186401,51.3375,21.994545,38.0395682,96.8125,30.022727,63.0467728,4.818182,0.0,1.3526516,"clear","none"
"2020-11-04","Day",79.369231,58.132308,69.7723078,52.663636,15.892308,34.5506713,78.964091,11.433077,34.4232553,4.769231,2.615385,3.4475525,"clear","none"
"2020-11-03","Night",61.945455,43.236364,50.5088788,50.818182,23.972727,36.4856819,88.566364,43.503636,61.1222879,1.727273,0.0,0.9469696,"clear","none"
"2020-11-03","Day",74.230769,56.218462,67.7558078,48.338462,15.332308,33.3365257,57.669231,15.82,34.3125962,6.307692,2.25,3.8634615,"clear","none"
"2020-11-02","Night",60.8,45.358333,51.4794697,50.981818,20.216667,37.7312121,96.933333,36.883333,63.4786666,3.363636,0.166667,1.3939393,"clear","none"
"2020-11-02","Day",77.323077,55.130769,66.8883641,48.753846,14.193333,34.0188424,61.708,16.266,37.5314329,10.857143,2.615385,5.6303298,"clear","none"
"2020-11-01","Night",58.030769,47.863636,53.0906366,51.945882,6.2,39.2106325,99.26,18.991818,65.5246106,6.055556,0.25,2.2864207,"clear","shaded"
"2020-11-01","Day",78.446154,57.824,66.2781089,51.157143,-1.176923,37.2243973,74.188,7.536923,46.2044055,8.631579,2.692308,4.7838979,"clear","shaded"
"2020-10-31","Night",59.1,47.036364,54.6385086,56.851429,-9.154545,35.4730248,98.328929,11.818182,58.1276838,7.3,0.166667,2.3904547,"clear","shaded"
"2020-10-31","Day",75.338462,56.215238,67.1658576,55.589333,-15.392308,33.7205944,86.932667,6.91,43.2643496,7.5,2.066667,4.6501466,"clear","none"
"2020-10-30","Night",59.711,50.118182,55.8962704,59.406,-13.963636,33.5641228,98.9475,5.730909,55.7870477,7.818182,0.272727,3.2295455,"clear","shaded"
"2020-10-30","Day",74.378462,61.557895,67.9498449,60.563158,-12.684615,30.9027864,90.419474,3.835385,40.6008812,11.615385,2.538462,5.6057901,"clear","shaded"
"2020-10-29","Night",66.829091,48.463636,56.2353636,57.016364,0.86,37.0580001,91.836364,19.552727,60.0100909,10.4,0.272727,3.7036362,"clear","none"
"2020-10-29","Day",76.187692,60.253846,69.0794603,52.773846,-15.338462,31.0020243,71.658333,4.456154,35.6982256,14.769231,1.615385,6.5257998,"clear","none"
"2020-10-28","Night",64.318182,43.245455,54.8348767,61.429231,26.072727,41.9697906,96.924615,46.817273,67.6421269,4.466667,0.363636,1.8390243,"clear","none"
"2020-10-28","Day",77.553846,61.007692,69.9816914,55.838462,11.06875,36.6006284,64.082308,12.456875,35.4941815,14.230769,3.363636,6.0061438,"clear","none"
"2020-10-27","Night",67.836364,47.0,56.3755151,58.92,7.354545,40.0412121,96.096667,17.826364,61.4619393,3.909091,0.2,1.4472729,"clear","none"
"2020-10-27","Day",79.630769,60.378261,70.5753646,56.452308,3.107692,35.423719,78.236522,8.763077,37.1341908,8.076923,2.153846,4.1926421,"clear","none"
"2020-10-26","Night",57.846154,52.292857,56.2004093,56.889091,10.445455,42.5506315,98.597273,31.773636,68.5667573,7.363636,0.0,1.827456,"clear","none"
"2020-10-26","Day",77.223077,61.16,69.7348431,54.687692,-11.993333,39.0038944,64.490667,4.852667,42.4381501,19.8,2.5,5.7928206,"clear","none"
"2020-10-25","Night",58.715,52.05,56.0501075,55.683333,21.381818,44.5561384,100.0,27.600909,70.417287,4.5,0.0,1.9616439,"clear","none"
"2020-10-25","Day",78.538462,56.408,68.354885,56.986154,22.892308,43.2913616,77.838,15.966154,51.0605183,5.571429,3.0,3.7126373,"clear","none"
"2020-10-24","Night",69.945455,52.036364,59.7523741,59.678333,10.227273,42.71893,100.0,11.537273,63.0021802,5.818182,0.0,2.2639081,"clear","none"
"2020-10-24","Day",83.461538,58.026667,70.4814934,61.120606,14.415385,41.9544562,94.476667,7.822308,48.5551116,11.533333,1.923077,4.9277797,"clear","lt_precip"
"2020-10-23","Night",68.527273,54.227273,59.5589242,54.188889,13.636364,42.2132039,96.042727,18.282727,62.3225515,4.0,0.090909,1.9350506,"clear","none"
